year,month,wpp,detection_count,rad_mean,log_rad_mean,is_partial_year
2015,3,WPP718,1377,34.8763,3.580078,0
2015,4,Unknown,66,9.324,2.334467,0
2015,4,WPP571,1585,8.7117,2.273326,0
2015,4,WPP572,2733,5.9982,1.945658,0
2015,4,WPP573,1154,5.4012,1.85648,0
2015,4,WPP711,13691,50.9612,3.950496,0
2015,4,WPP712,23871,33.3733,3.537281,0
2015,4,WPP713,7637,26.0464,3.297552,0
2015,4,WPP714,1040,32.224,3.503273,0
2015,4,WPP715,416,8.9434,2.29691,0
2015,4,WPP716,1566,5.5851,1.884808,0
2015,4,WPP717,94,3.2263,1.441336,0
2015,4,WPP718,1494,35.0621,3.585242,0
2015,5,Unknown,67,5.0302,1.796781,0
2015,5,WPP571,1736,6.882,2.064582,0
2015,5,WPP572,6049,6.1012,1.960262,0
2015,5,WPP573,1935,2.5802,1.27543,0
2015,5,WPP711,13722,48.7773,3.907559,0
2015,5,WPP712,33357,40.306,3.721007,0
2015,5,WPP713,12427,31.7803,3.489827,0
2015,5,WPP714,967,54.5819,4.017858,0
2015,5,WPP715,441,3.842,1.57732,0
2015,5,WPP716,1685,5.3489,1.848287,0
2015,5,WPP717,121,1.8812,1.058191,0
2015,5,WPP718,1747,40.076,3.715423,0
2015,6,Unknown,56,9.7926,2.378859,0
2015,6,WPP571,1999,12.3622,2.592432,0
2015,6,WPP572,6764,6.4677,2.010588,0
2015,6,WPP573,2016,2.438,1.234903,0
2015,6,WPP711,10608,39.0849,3.691,0
2015,6,WPP712,37938,42.5028,3.772826,0
2015,6,WPP713,7919,26.7861,3.324534,0
2015,6,WPP714,610,25.5959,3.280757,0
2015,6,WPP715,219,4.44,1.693774,0
2015,6,WPP716,1111,5.5402,1.877963,0
2015,6,WPP717,113,2.1948,1.161529,0
2015,6,WPP718,1974,43.7941,3.802076,0
2015,7,Unknown,112,7.3878,2.126774,0
2015,7,WPP571,1280,12.4788,2.601119,0
2015,7,WPP572,4043,6.3135,1.989728,0
2015,7,WPP573,1247,3.446,1.492005,0
2015,7,WPP711,11247,30.5311,3.450976,0
2015,7,WPP712,30474,50.496,3.941505,0
2015,7,WPP713,6739,15.9872,2.832459,0
2015,7,WPP714,875,37.9781,3.663,0
2015,7,WPP715,414,7.3688,2.124511,0
2015,7,WPP716,1369,4.3364,1.674553,0
2015,7,WPP717,133,3.7875,1.566001,0
2015,7,WPP718,2453,50.1708,3.935169,0
2015,8,Unknown,73,6.3012,1.988037,0
2015,8,WPP571,1717,9.0418,2.306756,0
2015,8,WPP572,5156,5.2623,1.834547,0
2015,8,WPP573,1707,2.9873,1.383113,0
2015,8,WPP711,11452,31.1073,3.469085,0
2015,8,WPP712,41484,44.4296,3.816163,0
2015,8,WPP713,10748,27.555,3.351831,0
2015,8,WPP714,1363,32.3378,3.506693,0
2015,8,WPP715,359,11.8044,2.549791,0
2015,8,WPP716,1637,4.8267,1.762449,0
2015,8,WPP717,162,3.1311,1.418539,0
2015,8,WPP718,4420,62.5841,4.152363,0
2015,9,Unknown,41,2.9412,1.371479,0
2015,9,WPP571,1255,9.2941,2.331569,0
2015,9,WPP572,3543,5.0155,1.79434,0
2015,9,WPP573,2109,2.9433,1.372029,0
2015,9,WPP711,9510,21.6393,3.119687,0
2015,9,WPP712,43646,34.9494,3.582113,0
2015,9,WPP713,7816,21.7711,3.125492,0
2015,9,WPP714,1516,42.6206,3.77553,0
2015,9,WPP715,354,20.6875,3.076735,0
2015,9,WPP716,889,7.6154,2.153554,0
2015,9,WPP717,124,2.4351,1.234037,0
2015,9,WPP718,4386,58.1956,4.080847,0
2015,10,Unknown,54,6.9492,2.073071,0
2015,10,WPP571,1065,6.1599,1.968491,0
2015,10,WPP572,2976,4.9772,1.787952,0
2015,10,WPP573,1787,3.1894,1.432546,0
2015,10,WPP711,13252,19.5965,3.025119,0
2015,10,WPP712,35929,28.4009,3.381024,0
2015,10,WPP713,8137,16.6927,2.873154,0
2015,10,WPP714,1623,39.5727,3.703095,0
2015,10,WPP715,391,28.1304,3.371782,0
2015,10,WPP716,899,3.6379,1.534256,0
2015,10,WPP717,139,2.2584,1.181232,0
2015,10,WPP718,4567,46.1362,3.853042,0
2015,11,Unknown,55,9.1795,2.320378,0
2015,11,WPP571,2012,11.1627,2.498374,0
2015,11,WPP572,3241,5.3982,1.856013,0
2015,11,WPP573,1547,2.9877,1.383211,0
2015,11,WPP711,12814,36.7054,3.629802,0
2015,11,WPP712,32668,26.7103,3.321806,0
2015,11,WPP713,10941,25.5396,3.278639,0
2015,11,WPP714,1938,33.3656,3.537057,0
2015,11,WPP715,473,49.7912,3.927723,0
2015,11,WPP716,1426,5.2523,1.832952,0
2015,11,WPP717,189,2.6489,1.294423,0
2015,11,WPP718,3047,71.2022,4.27947,0
2015,12,Unknown,43,3.9145,1.592196,0
2015,12,WPP571,1966,14.1045,2.714996,0
